signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-06-19 10:05:00+00:00,2025-06-19 10:35:00+00:00,2025-06-19 10:40:00+00:00,LONG,3358.72,3355.67,3364.8199999999993,3.049999999999727,101.6964472866145,33.34309747102413,WIN,2.0,203.392894573229,203.392894573229,Below PDL -> green reversal -> break green high,10373.037623234679,10373.037623234679
2025-06-20 09:00:00+00:00,2025-06-20 09:05:00+00:00,2025-06-20 09:30:00+00:00,LONG,3346.47,3342.77,3353.8699999999994,3.699999999999818,103.73037623234679,28.035236819554562,LOSS,-1.0,-103.73037623234679,-103.73037623234679,Below PDL -> green reversal -> break green high,10269.307247002333,10269.307247002333
2025-06-20 09:35:00+00:00,2025-06-20 09:40:00+00:00,2025-06-20 09:45:00+00:00,LONG,3343.98,3341.74,3348.4600000000005,2.2400000000002365,102.69307247002332,45.84512163839843,LOSS,-1.0,-102.69307247002332,-102.69307247002332,Below PDL -> green reversal -> break green high,10166.61417453231,10166.61417453231
2025-06-20 09:50:00+00:00,2025-06-20 09:55:00+00:00,2025-06-20 12:25:00+00:00,LONG,3345.97,3340.78,3356.349999999999,5.1899999999996,101.6661417453231,19.588851974052204,WIN,2.0,203.3322834906462,203.3322834906462,Below PDL -> green reversal -> break green high,10369.946458022956,10369.946458022956
2025-06-20 15:35:00+00:00,2025-06-20 15:40:00+00:00,2025-06-20 16:30:00+00:00,LONG,3348.2,3341.97,3360.66,6.230000000000018,103.69946458022956,16.64517890533375,WIN,2.0,207.39892916045912,207.39892916045912,Below PDL -> green reversal -> break green high,10577.345387183415,10577.345387183415
2025-06-24 03:05:00+00:00,2025-06-24 03:10:00+00:00,2025-06-24 03:45:00+00:00,LONG,3339.93,3333.3,3353.189999999999,6.629999999999654,105.77345387183415,15.95376378157461,WIN,2.0,211.5469077436683,211.5469077436683,Below PDL -> green reversal -> break green high,10788.892294927084,10788.892294927084
2025-06-24 04:50:00+00:00,2025-06-24 04:55:00+00:00,2025-06-24 06:35:00+00:00,LONG,3347.23,3342.26,3357.1699999999996,4.9699999999998,107.88892294927084,21.70803278657448,WIN,2.0,215.77784589854167,215.77784589854167,Below PDL -> green reversal -> break green high,11004.670140825625,11004.670140825625
2025-06-26 02:55:00+00:00,2025-06-26 03:00:00+00:00,2025-06-26 03:05:00+00:00,SHORT,3338.97,3339.63,3337.649999999999,0.6600000000003092,110.04670140825625,166.73742637606773,WIN,2.0,220.0934028165125,220.0934028165125,Above PDH -> green -> red reversal -> break red low,11224.763543642137,11224.763543642137
2025-06-26 05:55:00+00:00,2025-06-26 06:00:00+00:00,2025-06-26 06:05:00+00:00,SHORT,3338.67,3341.72,3332.5700000000006,3.049999999999727,112.24763543642138,36.80250342178079,LOSS,-1.0,-112.24763543642138,-112.24763543642138,Above PDH -> green -> red reversal -> break red low,11112.515908205716,11112.515908205716
2025-06-26 06:55:00+00:00,2025-06-26 07:00:00+00:00,2025-06-26 10:05:00+00:00,SHORT,3337.8,3343.14,3327.120000000001,5.339999999999691,111.12515908205717,20.809954884281574,LOSS,-1.0,-111.12515908205717,-111.12515908205717,Above PDH -> green -> red reversal -> break red low,11001.390749123659,11001.390749123659
